provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsprov_05a9e56abf9bf8d3f7bac8c1,bps_webapi,bps-webapi://domain/1300/var/34/th/118,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,c47f25f831b7bb071e33ad2dcb8146c9ff1551f1cd52bf7c8c13c3027b9b26b6,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2018.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=118:2018
bpsprov_07afa8f13634c9788796a1be,bps_webapi,bps-webapi://domain/1300/var/34/th/122,2026-08-15T16:08:58+00:00,2025-10-31 09:52:31,5d7359e9457d6312ef2d09f5bc51527399dc3fc67b2e1a2a33ecb5de70620453,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-34-2022.json; source_var=34 Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat; source_period=122:2022
bpsprov_0b0d19688b5dafc6c6a6d610,bps_webapi,bps-webapi://domain/1300/var/363/th/120,2026-08-15T16:08:36+00:00,2025-11-10 11:23:03,d916bc3ddc154fc992b6c69f0817509689bc75131c02f6deba33eb6ab218b0ff,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-363-2020.json; source_var=363 [Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=120:2020
bpsprov_0c7cb7128ed5a07284b9cd1a,bps_webapi,bps-webapi://domain/1300/var/361/th/122,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,caad632dfb23267aedceda8a305785a77454358c45e7b1b06d578cfab923fcab,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2022.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=122:2022
bpsprov_1c9e409f73f417d3bb806144,bps_webapi,bps-webapi://domain/1300/var/361/th/118,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,3f7a87437d46c0ae774698a8362f9f4625cfebf09733e6e164f183251c2fa0da,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2018.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=118:2018
bpsprov_1f2c3732b7fbb4c85a9ea7e7,bps_webapi,bps-webapi://domain/1300/var/139/th/123,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,4443f03051f7230c5cc5be6f608ff7ba76c54fcaa4f16bd77439b9a3afd6b610,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2023.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=123:2023
bpsprov_201a0a2b90685d55a0143e64,bps_webapi,bps-webapi://domain/1300/var/361/th/124,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,12d64b80cd5c2820c679b51cb3e043c32478e636054c20fb43d342ce8570bc18,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2024.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=124:2024
bpsprov_22319e4d86199cb8c1878bba,bps_webapi,bps-webapi://domain/1300/var/141/th/120,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,5386b09528408397b8e70239851275cdf4da5bca3e2c54bf72bfab7cbb0a506a,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2020.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=120:2020
bpsprov_22a2958ae7ad027a09947938,bps_webapi,bps-webapi://domain/1300/var/141/th/118,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,4fa5af30f8f710be8cee4b31ee6716a4623916ec4cf5a0cea31c4baf4118eb4a,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2018.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=118:2018
bpsprov_2656b715fcc4cc40484c4657,bps_webapi,bps-webapi://domain/1300/var/139/th/120,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,49e433fc7f6db883e835ef2164e8f8dc5e9397887943e5cf0573ffd8a9e6c482,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2020.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=120:2020
bpsprov_2776cfd7d11c4be66cb629f9,bps_webapi,bps-webapi://domain/1300/var/141/th/123,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,f57738689bf96eb9dc18d81e083da03a737e1b6071ed6852fd7adaa72fe6e221,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2023.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=123:2023
