source_record_id,source_id,source_workflow_run_id,source_artifact_name,source_artifact_digest_sha256,snapshot_name,snapshot_sha256,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,source_period_type,value,unit,source_integrity_status,current_geography_mapping_status,canonical_indicator_target,growth_input_status,notes
bps484_1971_1300_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1300,SUMATERA BARAT (Provinsi),34,Laki-Laki + Perempuan,71,1971,census,2789822,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1302_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1302,Pesisir Selatan,34,Laki-Laki + Perempuan,71,1971,census,254234,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1303_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1303,Kab.Solok,34,Laki-Laki + Perempuan,71,1971,census,294730,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1304_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1304,Sijunjung,34,Laki-Laki + Perempuan,71,1971,census,161321,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1305_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1305,Tanah Datar,34,Laki-Laki + Perempuan,71,1971,census,290997,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1306_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1306,Padang Pariaman,34,Laki-Laki + Perempuan,71,1971,census,553128,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1307_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1307,Agam,34,Laki-Laki + Perempuan,71,1971,census,347022,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1308_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1308,Lima Puluh Kota,34,Laki-Laki + Perempuan,71,1971,census,223270,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1309_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1309,Pasaman,34,Laki-Laki + Perempuan,71,1971,census,273850,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
bps484_1971_1371_total,bps_webapi,31894824526,bps-census-supas-var-484,a0ca1710a649d42e78ef290860c7d48715e7deec2f2789f11d90257733ef7c68,var-484-1971.json,1462bb033cb84ad08841ed37838678b2123cd989c2136abfe0df7050b3e4cda4,2026-08-15T16:11:37+00:00,2021-01-22 08:57:53,484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,1371,Padang,34,Laki-Laki + Perempuan,71,1971,census,196618,Jiwa,source_native_snapshot_consistent,historical_boundary_lineage_required,historical_population_source_era,blocked_boundary_and_reference_date_compatibility,Retain source-era geography; do not map local rows to current canonical boundaries without explicit boundary lineage.
