provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
chirpsprov_08cf9a732d039d72eccb02c0,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2001,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:34:00 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_0b1431dfbfc76cd87c567ea3,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1993,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:28:57 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_0dbe201c4de4fc57baa56cc7,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2019,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:45:52 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_105560bf68b24142847709fb,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1984,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:23:24 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_1ad925e050f99158259f45a8,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1994,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:29:33 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_245a0c829b03c3b0747fd994,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=1985,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:24:02 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_2b5773cbf1c57eb413def781,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2003,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:35:19 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_2cf1096ce26eebc728e69baf,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2002,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:34:40 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_33c1360517abf4405894a6a4,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2006,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:37:18 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
chirpsprov_3aa2018ec0576428d71e18bf,chirps_v3,repo://data/processed/climate/rainfall/chirps-source-contract.csv#year=2022,2026-08-16T12:55:23.994232+00:00,"Tue, 25 Feb 2025 18:47:48 GMT",2aacf97886045a3900f1796b65ff401f93057f73f04e1f271a5a79d09213f239,chirps_v3_final_monthly_cog:rasterio-1.5.0,build_chirps_rainfall_production:v1|materialize_chirps_rainfall:v1,remote_cog_range_read+geodesic_area_weighted_zonal_aggregation,year_source_files=12; geometry_source=big_admin_boundaries_june_2026; geometry_response_sha256=7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175; checksum_scope=committed_source_contract_artifact_not_full_upstream_raster_bytes; source_contract_records_prefix_sha256_etag_last_modified_and_content_length_for_each_COG
