contract_item_id,source_id,role,year,month,locator,source_release,transport_identity,identity_sha256,identity_scope,content_length_bytes,notes
big_sumbar_kabkota_june_2026_snapshot,big_admin_boundaries_june_2026,zonal_geometry_source,2026,6,https://geoservices.big.go.id/rbi/rest/services/BATASWILAYAH/BATAS_KABKOTA_AR/MapServer/0/query?where=WADMPR%3D%27Sumatera+Barat%27&outFields=OBJECTID%2CKDPKAB%2CWADMKK%2CWADMPR%2CMETADATA&returnGeometry=true&returnZ=false&returnM=false&outSR=4326&orderByFields=OBJECTID+ASC&f=geojson,Juni 2026,1782439584,7ff9b6bd0a570c10f20d5ab1d5b1d9b0ce7f2a6c4cfcf610a3a0dd0a5a766175,sha256_full_geojson_query_response,12904438,current boundary snapshot only; historical boundary continuity is not established
chirps_v3_final_1981_01,chirps_v3,monthly_rainfall_source_cog,1981,1,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.01.cog,"Tue, 25 Feb 2025 18:21:00 GMT","""67be0a0c-1cbf1b0""",b069655c35d4ec110003f9eb52a2d50e409d4b417554b2e8c9a72100b877439e,sha256_first_16384_bytes_not_full_file_checksum,30142896,content_range=bytes 0-16383/30142896; bytes_read=16384
chirps_v3_final_1981_02,chirps_v3,monthly_rainfall_source_cog,1981,2,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.02.cog,"Tue, 25 Feb 2025 18:21:03 GMT","""67be0a0f-1cca80b""",b0ced9a481d8ba1a2427f93d92bf6ccb09e234e5f16cec938f00022247a82ab0,sha256_first_16384_bytes_not_full_file_checksum,30189579,content_range=bytes 0-16383/30189579; bytes_read=16384
chirps_v3_final_1981_03,chirps_v3,monthly_rainfall_source_cog,1981,3,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.03.cog,"Tue, 25 Feb 2025 18:21:06 GMT","""67be0a12-1c39287""",ae0059f73000bf1a6d2d94a9558282b4aa04ede8a3658e92e7c2c04e5bc34479,sha256_first_16384_bytes_not_full_file_checksum,29594247,content_range=bytes 0-16383/29594247; bytes_read=16384
chirps_v3_final_1981_04,chirps_v3,monthly_rainfall_source_cog,1981,4,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.04.cog,"Tue, 25 Feb 2025 18:21:09 GMT","""67be0a15-1c825c4""",83e54227e8497584b200c11dc558cae3aa85f5a478acc7e4741a54afc88f0bda,sha256_first_16384_bytes_not_full_file_checksum,29894084,content_range=bytes 0-16383/29894084; bytes_read=16384
chirps_v3_final_1981_05,chirps_v3,monthly_rainfall_source_cog,1981,5,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.05.cog,"Tue, 25 Feb 2025 18:21:12 GMT","""67be0a18-1d37696""",e478f4d0184d0f31ce357d8b2da349d92bb13f47dc0541b61424c4a06afb6554,sha256_first_16384_bytes_not_full_file_checksum,30635670,content_range=bytes 0-16383/30635670; bytes_read=16384
chirps_v3_final_1981_06,chirps_v3,monthly_rainfall_source_cog,1981,6,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.06.cog,"Tue, 25 Feb 2025 18:21:15 GMT","""67be0a1b-1c894fb""",144f42926c1aff9c16b9e048bdc682e9aa4c04fc22b1536041b812570ba7defb,sha256_first_16384_bytes_not_full_file_checksum,29922555,content_range=bytes 0-16383/29922555; bytes_read=16384
chirps_v3_final_1981_07,chirps_v3,monthly_rainfall_source_cog,1981,7,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.07.cog,"Tue, 25 Feb 2025 18:21:18 GMT","""67be0a1e-1c55240""",a1ea081ffa04d41c40f8dc8e6e431f478bcea95fa6e21fb1f654a1316b886f28,sha256_first_16384_bytes_not_full_file_checksum,29708864,content_range=bytes 0-16383/29708864; bytes_read=16384
chirps_v3_final_1981_08,chirps_v3,monthly_rainfall_source_cog,1981,8,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.08.cog,"Tue, 25 Feb 2025 18:21:21 GMT","""67be0a21-1cec2ec""",db5d855bcf37200b2d1bc3db2a7cb2d9ac2220f5f31ae0c823426e489805dd48,sha256_first_16384_bytes_not_full_file_checksum,30327532,content_range=bytes 0-16383/30327532; bytes_read=16384
chirps_v3_final_1981_09,chirps_v3,monthly_rainfall_source_cog,1981,9,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.09.cog,"Tue, 25 Feb 2025 18:21:24 GMT","""67be0a24-1cc69ef""",b368c9d1e94e09c166b451b3cba61fb8885bc1524ff2846960597c4dc11cd5ce,sha256_first_16384_bytes_not_full_file_checksum,30173679,content_range=bytes 0-16383/30173679; bytes_read=16384
chirps_v3_final_1981_10,chirps_v3,monthly_rainfall_source_cog,1981,10,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.10.cog,"Tue, 25 Feb 2025 18:21:27 GMT","""67be0a27-1d3e5c9""",4527a0422b53c9ba25b42283d5389104a3f59e9b736868aace6cd399556a4d4e,sha256_first_16384_bytes_not_full_file_checksum,30664137,content_range=bytes 0-16383/30664137; bytes_read=16384
chirps_v3_final_1981_11,chirps_v3,monthly_rainfall_source_cog,1981,11,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.11.cog,"Tue, 25 Feb 2025 18:21:30 GMT","""67be0a2a-1baae5f""",9961e841df93f446be5ac26c7ee353490f6cddbf584f14661734efb207135a00,sha256_first_16384_bytes_not_full_file_checksum,29011551,content_range=bytes 0-16383/29011551; bytes_read=16384
chirps_v3_final_1981_12,chirps_v3,monthly_rainfall_source_cog,1981,12,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1981.12.cog,"Tue, 25 Feb 2025 18:21:33 GMT","""67be0a2d-1c408bb""",d35e1701512ae42f6dbed88bfa1a27fe5493831d0b054ea474c38a5b468d5101,sha256_first_16384_bytes_not_full_file_checksum,29624507,content_range=bytes 0-16383/29624507; bytes_read=16384
chirps_v3_final_1982_01,chirps_v3,monthly_rainfall_source_cog,1982,1,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1982.01.cog,"Tue, 25 Feb 2025 18:21:36 GMT","""67be0a30-1d2a2a8""",6c87dc6bf96b0fbc20f7b0a191a9f0864ae1a74eb471bbd883d55c92b4c671f5,sha256_first_16384_bytes_not_full_file_checksum,30581416,content_range=bytes 0-16383/30581416; bytes_read=16384
chirps_v3_final_1982_02,chirps_v3,monthly_rainfall_source_cog,1982,2,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1982.02.cog,"Tue, 25 Feb 2025 18:21:39 GMT","""67be0a33-1c62e92""",7b60dd8c1deed46cab5283e51f466f033f35a9f05c6c490fc89826c8f2c400a9,sha256_first_16384_bytes_not_full_file_checksum,29765266,content_range=bytes 0-16383/29765266; bytes_read=16384
chirps_v3_final_1982_03,chirps_v3,monthly_rainfall_source_cog,1982,3,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1982.03.cog,"Tue, 25 Feb 2025 18:21:43 GMT","""67be0a37-1cb507f""",13c3bd7eb5e60468b6613924b2f371be104fbae680c75a750dcdec3e7a70ecad,sha256_first_16384_bytes_not_full_file_checksum,30101631,content_range=bytes 0-16383/30101631; bytes_read=16384
chirps_v3_final_1982_04,chirps_v3,monthly_rainfall_source_cog,1982,4,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/monthly/global/cogs/chirps-v3.0.1982.04.cog,"Tue, 25 Feb 2025 18:21:46 GMT","""67be0a3a-1c7f424""",6cf711a7008fb26fef83f6c1f5194e9e89d0e998aab19c8661e643be63feb023,sha256_first_16384_bytes_not_full_file_checksum,29881380,content_range=bytes 0-16383/29881380; bytes_read=16384
