observation_id,fiscal_account_id,geography_id,geography_name,djpk_province_selector,djpk_pemda_selector,year,reference_period,source_account_label,budget_rupiah_exact,realization_rupiah_exact,realization_idr_billion,unit,claim_type,taxonomy_contract_type,taxonomy_contract_status,numeric_evidence_representation,html_crosscheck_status,fiscal_provenance_id,comparability_regime,imputation_performed,historical_boundary_reconstruction_performed
m25obs_0b4d2f1fd2ca31c37f2625f1,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2018,annual_final_realization,Belanja Modal,343359974118,222209809952.23,222.20980995223,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_01f23f86dabffc37c66641ab,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_950e297593c848696ce17756,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2019,annual_final_realization,Belanja Modal,421946874417,297673042276.97,297.67304227697,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_7bce0af23b018a53541efdf5,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_02740dfa1bf266f269535e4b,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2020,annual_final_realization,Belanja Modal,246479650659,142003462707,142.003462707,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_564c74c9778827e76e7ba9e8,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_51375b52ff60d70351701a98,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2021,annual_final_realization,Belanja Modal,183230932223,164639582130,164.63958213,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_4437bc9c70c62b6c1f3640d2,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_10afbb11ec2ab96b7b34dafd,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2022,annual_final_realization,Belanja Modal,157012401692,109616098812,109.616098812,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_9a1689c2f1ecc28cd55f576a,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_ace396b4d75c7444b00a2a29,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2023,annual_final_realization,Belanja Modal,239607613815,215504564380,215.50456438,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_f396b644612c8308f1cfe3ce,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_4b772ce60041e7b4d915a189,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2024,annual_final_realization,Belanja Modal,152021458339,142697574476,142.697574476,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_4c6e2f7f430914d4a4fbca26,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_e0826c874c482da4c3e152ac,capital_expenditure,idn.13.1301,Kepulauan Mentawai,03,03,2025,annual_final_realization,Belanja Modal,202128137144,79174491514.61,79.17449151461,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_f19a328b6a72db2e22dc3122,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_c9576da8723796edbce1b7f5,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2018,annual_final_realization,Belanja Modal,285974782241.35,257286726595,257.286726595,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_810914b57a19c7af33e7345e,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_26bbd72d93d9d7f14afd84b7,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2019,annual_final_realization,Belanja Modal,406780291116.25,324875576584,324.875576584,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_d67efb26aea479b3e0676236,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_d079be39795e221db9e423d4,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2020,annual_final_realization,Belanja Modal,424888139409.12,261934632557,261.934632557,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_affdc9063c4eaf9d14054aa0,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_d5bf452a2a07ac9b9aba4715,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2021,annual_final_realization,Belanja Modal,264811989760,218718458162,218.718458162,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_ee5909061c206d848fd1f49a,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_a133e0a7a5099f820f0fc6ba,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2022,annual_final_realization,Belanja Modal,248663386713,263195433274,263.195433274,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_97b03eec4e823383136ef996,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_78cd96d4e671a586aab2969c,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2023,annual_final_realization,Belanja Modal,218593033169,224615798338.09,224.61579833809,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_4f84ab56d1a014cc0e04dd80,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_31494f2b9bfa5b7f4a2e7cb3,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2024,annual_final_realization,Belanja Modal,182285747024,172078546250,172.07854625,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_98d4c1c5929f99bb09a4f572,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_e2e4a72388402ae7e20aea26,capital_expenditure,idn.13.1302,Pesisir Selatan,03,06,2025,annual_final_realization,Belanja Modal,164588196043,104324346028,104.324346028,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_16365b5e2d9c4201e9d3dc15,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_9c90327b6b2f1d83d77febe0,capital_expenditure,idn.13.1303,Solok,03,08,2018,annual_final_realization,Belanja Modal,189207852407,167162730043.65,167.16273004365,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_fa6c49dd5e4674eec9e5223f,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_bcfadab93bbfac3805d86d98,capital_expenditure,idn.13.1303,Solok,03,08,2019,annual_final_realization,Belanja Modal,214435154519,194815396237.56,194.81539623756,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_91a40e0fbb261d13cf699320,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_ad23c009cf0af43c8043d531,capital_expenditure,idn.13.1303,Solok,03,08,2020,annual_final_realization,Belanja Modal,147634887059,110707851887.02,110.70785188702,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_54cacca76512f5a095574f6c,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_64c02246af07db8942339b74,capital_expenditure,idn.13.1303,Solok,03,08,2021,annual_final_realization,Belanja Modal,192223991418,135593799613,135.593799613,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_8b58047e88a895d9550fe43b,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_f7d8c19f912c6147b8edea28,capital_expenditure,idn.13.1303,Solok,03,08,2022,annual_final_realization,Belanja Modal,173128931928,187199706519.61,187.19970651961,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_e0e9d322feee34fa7fc9605a,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_1c6092e4adcc5f4e1d7ab497,capital_expenditure,idn.13.1303,Solok,03,08,2023,annual_final_realization,Belanja Modal,178270079526,178578145300,178.5781453,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_7116627011a4ced0ae738f1e,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_22de9d0b7452b98c512c9034,capital_expenditure,idn.13.1303,Solok,03,08,2024,annual_final_realization,Belanja Modal,190600994373.63,177126528710.21,177.12652871021,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_81ef066141bfefc49277105a,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
m25obs_19dc42a326ebe005d94b3a36,capital_expenditure,idn.13.1303,Solok,03,08,2025,annual_final_realization,Belanja Modal,124612480587.28,117897232519.34,117.89723251934,IDR_billion,observed_recorded_fiscal_realization,exact_label,promoted_exact_label,djpk_csv_apbd_spreadsheetml_exact_rupiah,passed_display_rounding_crosscheck,m25prov_dd88bc45d2a8e60be13101b7,sumbar_current_kabkota_djpk_realization_2018_2025_v2,False,False
