year,geography_id,geography_name,class_number,class_code,class_name,source_class_label,forest_group,hk_thousand_ha,hl_thousand_ha,hpt_thousand_ha,hp_thousand_ha,hutan_tetap_thousand_ha,hpk_thousand_ha,kawasan_hutan_thousand_ha,apl_thousand_ha,total_thousand_ha
2022,idn.13,Sumatera Barat,1,2001,Hutan Lahan Kering Primer,Hutan Lahan Kering Primer,forest,373.1,193.8,4.5,2.6,574.0,1.3,575.3,7.7,583.0
2022,idn.13,Sumatera Barat,2,2002,Hutan Lahan Kering Sekunder,Hutan Lahan Kering Sekunder,forest,296.2,377.5,137.2,225.8,1036.7,50.7,1087.4,148.1,1235.5
2022,idn.13,Sumatera Barat,3,2005,Hutan Rawa Primer,Hutan Rawa Primer,forest,,0.3,,3.1,3.4,,3.4,,3.4
2022,idn.13,Sumatera Barat,4,20051,Hutan Rawa Sekunder,Hutan Rawa Sekunder,forest,,0.7,,4.7,5.3,10.9,16.2,5.3,21.5
2022,idn.13,Sumatera Barat,5,2004,Hutan Mangrove Primer,Hutan Mangrove Primer,forest,0.6,2.7,,3.2,6.5,1.3,7.8,5.8,13.6
2022,idn.13,Sumatera Barat,6,20041,Hutan Mangrove Sekunder,Hutan Mangrove Sekunder,forest,0.0,0.4,,0.5,0.9,0.3,1.2,1.7,2.9
2022,idn.13,Sumatera Barat,7,2006,Hutan Tanaman,Hutan Tanaman,forest,0.0,0.6,10.4,21.8,32.7,4.7,37.5,10.0,47.5
2022,idn.13,Sumatera Barat,8,2007,Semak Belukar,Semak/Belukar,non_forest,18.6,54.8,14.7,12.4,100.5,9.2,109.7,64.3,174.0
2022,idn.13,Sumatera Barat,9,20071,Semak Belukar Rawa,Semak Belukar Rawa,non_forest,0.2,1.6,,2.7,4.5,10.4,14.8,7.4,22.2
2022,idn.13,Sumatera Barat,10,3000,Savana/ Padang Rumput,Savana/Rumput,non_forest,,,,,,,,,
2022,idn.13,Sumatera Barat,11,2010,Perkebunan,Perkebunan,non_forest,0.8,11.7,9.6,22.8,44.9,21.3,66.2,453.5,519.7
2022,idn.13,Sumatera Barat,12,20091,Pertanian Lahan Kering,Pertanian Lahan Kering,non_forest,18.8,31.1,18.3,9.9,78.0,13.2,91.3,368.7,459.9
