geography_id,canonical_name,geography_level,required_source_type,normalized_name,accepted_normalized_aliases,mapping_status,mapping_basis
idn.13.1301,Kepulauan Mentawai,regency,regency,kepulauan mentawai,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1302,Pesisir Selatan,regency,regency,pesisir selatan,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1303,Solok,regency,regency,solok,,preregistered_candidate,current canonical BPS registry; type is mandatory because Kota Solok also exists
idn.13.1304,Sijunjung,regency,regency,sijunjung,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1305,Tanah Datar,regency,regency,tanah datar,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1306,Padang Pariaman,regency,regency,padang pariaman,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1307,Agam,regency,regency,agam,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1308,Lima Puluh Kota,regency,regency,lima puluh kota,limapuluh kota,preregistered_candidate,current canonical BPS registry plus already-qualified DJPK lexical alias
idn.13.1309,Pasaman,regency,regency,pasaman,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1310,Solok Selatan,regency,regency,solok selatan,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1311,Dharmasraya,regency,regency,dharmasraya,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1312,Pasaman Barat,regency,regency,pasaman barat,,preregistered_candidate,current canonical BPS registry; source type must identify kabupaten/regency
idn.13.1371,Padang,city,city,padang,,preregistered_candidate,current canonical BPS registry; source type must identify kota/city
idn.13.1372,Solok,city,city,solok,,preregistered_candidate,current canonical BPS registry; type is mandatory because Kabupaten Solok also exists
idn.13.1373,Sawahlunto,city,city,sawahlunto,,preregistered_candidate,current canonical BPS registry
idn.13.1374,Padang Panjang,city,city,padang panjang,,preregistered_candidate,current canonical BPS registry
idn.13.1375,Bukittinggi,city,city,bukittinggi,bukit tinggi,preregistered_candidate,current canonical BPS registry plus already-qualified DJPK lexical alias
idn.13.1376,Payakumbuh,city,city,payakumbuh,,preregistered_candidate,current canonical BPS registry
idn.13.1377,Pariaman,city,city,pariaman,,preregistered_candidate,current canonical BPS registry
