source_id,reference_year,title,catalog_no,publication_no,release_date,official_url,anchor_role,status,notes
bps_sumbar_dalam_angka_1970,1970,Sumatera Barat Dalam Angka Tahun 1970,1102001.13,13000.1970,1971-09-01,https://sumbar.bps.go.id/id/publication/1971/09/01/596696f5adf6201742791a61/sumatera-barat-dalam-angka-tahun-1970.html,earliest_verified_digital_series_anchor,qualified,Official abstract describes this as the statistical book prepared for national and regional development planning; no claim is made that no older non-digital source exists
bps_sumbar_dalam_angka_1971,1971,Sumatera Barat Dalam Angka Tahun 1971,1102001.13,13000.1971,1972-09-29,https://sumbar.bps.go.id/id/publication/1972/09/29/cb947cd4ef1a1c0e278b212e/sumatera-barat-dalam-angka-tahun-1971.html,series_continuity_anchor,qualified,Official abstract explicitly calls this the second book in the series
bps_sumbar_dalam_angka_1975,1975,Sumatera Barat Dalam Angka Tahun 1975,1102001.13,13000.1975,1976-09-17,https://sumbar.bps.go.id/id/publication/1976/09/17/fa3593727fd964ebeeaed690/sumatera-barat-dalam-angka-tahun-1975.html,1970s_anchor,qualified,Public BPS publication page and downloadable artifact are available without WebAPI credentials
bps_sumbar_dalam_angka_1989,1989,Sumatera Barat Dalam Angka Tahun 1989,1102001.13,13000.1990,1990-09-19,https://sumbar.bps.go.id/id/publication/1990/09/19/21b970eb7b47b99614286200/sumatera-barat-dalam-angka-tahun-1989.html,late_1980s_anchor,qualified,Technical explanations and inter-province comparison material are mentioned in the official abstract
bps_sumbar_dalam_angka_1990,1990,Sumatera Barat Dalam Angka Tahun 1990,1102001.13,13000.1991,1991-09-03,https://sumbar.bps.go.id/id/publication/1991/09/03/418d5c50d440245a49e4b21f/sumatera-barat-dalam-angka-tahun-1990.html,1990_anchor,qualified,Useful pre-decentralization socioeconomic and administrative reference
bps_sumbar_dalam_angka_1999,1999,Sumatera Barat Dalam Angka Tahun 1999,1102001.13,13000.2000,2000-09-06,https://sumbar.bps.go.id/id/publication/2000/09/06/05ce656bcfee2f5bf6065f1b/sumatera-barat-dalam-angka-tahun-1999.html,reformasi_transition_anchor,qualified,Important transition-period anchor; publication number collision with 2000 edition must not be used as a unique internal identifier
bps_sumbar_dalam_angka_2000,2000,Sumatera Barat Dalam Angka Tahun 2000,1102001.13,13000.2000,2001-09-05,https://sumbar.bps.go.id/id/publication/2001/09/05/e7d159765642b6b991651b12/sumatera-barat-dalam-angka-tahun-2000.html,2000_anchor,qualified,Publication number is not globally unique across archived pages; use source_id and official URL for provenance
bps_sumbar_dalam_angka_2010,2010,Sumatera Barat Dalam Angka 2010,1102001,1300,2011-01-10,https://sumbar.bps.go.id/id/publication/2011/01/10/b5ab71f922792441682ce4bf/sumatera-barat-dalam-angka-2010.html,2010_anchor,qualified,Legacy catalog and publication numbering differ from newer editions
bps_sumbar_dalam_angka_2015,2015,Sumatera Barat Dalam Angka 2015,1102001,13000.1502,2016-01-27,https://sumbar.bps.go.id/id/publication/2016/01/27/8a8ffe1b49a7f16126534e0c/sumatera-barat-dalam-angka-2015.html,2015_anchor,qualified,Bridge into modern publication structure; bilingual edition
bps_sumbar_dalam_angka_2019,2019,Provinsi Sumatera Barat Dalam Angka 2019,1102001.13,13560.1904,2019-08-16,https://sumbar.bps.go.id/id/publication/2019/08/16/47908784c582625d4d0ff72f/provinsi-sumatera-barat-dalam-angka-2019.html,pre_pandemic_anchor,qualified,Official page records a later revision; artifact-level provenance should preserve revision date when downloaded
bps_sumbar_dalam_angka_2024,2024,Provinsi Sumatera Barat Dalam Angka 2024,1102001.13,13000.24005,2024-02-28,https://sumbar.bps.go.id/id/publication/2024/02/28/1b9d2796de6ef7fdcac6ae79/sumatera-barat-province-in-figures-2024.html,recent_comparability_anchor,qualified,Official page records revision on 2024-11-13
bps_sumbar_dalam_angka_2025,2025,Provinsi Sumatera Barat Dalam Angka 2025,1102001.13,13000.25010,2025-02-28,https://sumbar.bps.go.id/id/publication/2025/02/28/a757962d2ef9b6ce8943ed73/provinsi-sumatera-barat-dalam-angka-2025.html,recent_comparability_anchor,qualified,Annual multi-domain reference immediately preceding 2026 edition
bps_sumbar_dalam_angka_2026,2026,Provinsi Sumatera Barat Dalam Angka 2026,1102001.13,13000.26007,2026-02-27,https://sumbar.bps.go.id/id/publication/2026/02/27/2c7cc5c693ff125fc6751f7a/provinsi-sumatera-barat-dalam-angka-2026.html,current_anchor,qualified,Official page records revision on 2026-05-21
