series_id,indicator_id,bps_var_id,period_label,period_id,semantic_result_sha256,selected_turvar_id,denominator_turvar_ids,transform,canonical_unit,claim_type,frequency,time_start,time_end,expected_geography_count,methodology_version,source_universe,price_basis,qualification_notes
m4_urban_share_2020,urban_population_share,512,2020,120,9a2426e64bd7ab99c2795ad025cd6aef43d0c00928bcf5a2f03edaf6f2c212a2,0,,identity,percent,model_estimate,annual,2020-01-01,2020-12-31,19,bps_projection_sp2010,Population classified urban in the BPS SP2010-based population projection,,Projection source is explicit so claim type remains model_estimate
m4_net_migration_2025,net_migration_rate,883,2025,125,d0f9b078529391e77b055d71c545ed93700f9ca85586c56323618a06864d43b4,1475,,multiply_10,per_1000,derived,census_or_survey,2025-01-01,2025-12-31,19,supas2025_recent_migration,Population covered by the SUPAS recent-migration definition,,Source publishes recent net migration per 100 population; canonical value converts deterministically to per 1000
m4_imr_2025,infant_mortality_rate,877,2025,125,93126c8f8cc6cea5bceabf563a3d7034e77561d4f0f87b89d0b9d0e8d51b4f8b,0,,identity,per_1000_live_births,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_imr,Children under age one under the official SUPAS mortality estimation definition,,API unit metadata is blank; canonical unit is qualified from the official BPS IMR definition
m4_internet_2025,internet_access,320,2025,125,578202c5ae0d7c1a3b76cac9681170e52e1d88c58aabc4f66c9c857ace529dc2,595,,identity,percent,observed,annual,2025-01-01,2025-12-31,19,susenas_internet_3month,Persons age 5+ who accessed the internet in the previous 3 months,,Selects BPS turvar 595 Pernah Mengakses Internet
m4_road_good_2024,road_condition_good,555,2024,124,7a7c5363e805e6a82c5b4b8cb19b1eceba19a11c027561b1a22f77093f0cee00,908,908|909|910|911,share_selected_over_sum_turvar_ids,percent,derived,annual,2024-01-01,2024-12-31,19,bps_provincial_road_condition,Provincial-authority road length classified by condition,,Good-condition km divided by total km across good medium damaged and heavily damaged categories
m4_neet_2025,neet_rate,774,2025,125,dd544d0a1c8fc2086eb831d1757e100601f916699d0c69c807536ab0d625b3e8,0,,identity,percent,observed,annual,2025-01-01,2025-12-31,19,sakernas_neet_15_24,People age 15 to 24 not in employment education or training,,Source is BPS Sakernas; no exact within-year reference month is inferred from current API metadata
m4_mobile_2025,mobile_phone_use,319,2025,125,792df6092c616a022d7706ce5c3d585175d4fc6a6cd6c5ca59c89e0248e2b353,34,,identity,percent,observed,annual,2025-01-01,2025-12-31,19,susenas_mobile_3month,Persons age 5+ using a mobile phone in the previous 3 months,,Selects combined male and female category turvar 34
m4_wage_2024,average_employee_wage,289,2024,124,7f3cb01d762f747909a589381368afaaa149fdd181085e6e0731bec9504f31f1,0,,identity,rupiah_per_month,observed,annual,2024-08-01,2024-08-31,19,sakernas_august_net_wage,Employees or wage workers under Sakernas August,nominal_2024,Source note explicitly identifies Sakernas August and average net monthly wage salary
m4_dependency_2025,dependency_ratio,875,2025,125,2c8eefb4399199979186f2954850e4b96a12cabe897abbf004c30d343cd581f1,0,,identity,dependents_per_100_working_age,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_dependency_ratio,Population age 0 to 14 plus 65+ relative to age 15 to 64,,Canonical unit follows the official BPS dependency-ratio definition
m4_tfr_2025,total_fertility_rate,876,2025,125,525eb7cfcfef1397a09abe08b78a72bd8a78d5e4256a5bc69504af9b4fbb076c,0,,identity,births_per_woman,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_tfr,Women under the official BPS age-specific fertility estimation schedule,,Canonical unit follows the official BPS TFR definition
m4_cmr_2025,child_mortality_rate,878,2025,125,f6dc4e08ac5f87643509172a35db20f35b1e35bc1a465e69b912ea751a33acc4,0,,identity,per_1000_live_births,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_cmr,Children age 1 to 4 under the official SUPAS mortality estimation definition,,API unit metadata is blank; retain exact SUPAS CMR methodology in provenance
m4_u5mr_2025,under_five_mortality_rate,879,2025,125,d09cd59d22bc3e7b2ed54dd388c4304298cec9330eed938e0a9f6ceda9db1b37,0,,identity,per_1000_live_births,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_u5mr,Children before age five under the official SUPAS mortality estimation definition,,API unit metadata is blank; retain exact SUPAS U5MR methodology in provenance
