bps_vervar_id,canonical_geography_id,mapping_type,applicable_start_year,applicable_end_year,notes
1300,idn.13,source_aggregate_alias,2018,2025,BPS dynamic poverty and GRDP families use 1300 for the province aggregate; canonical province registry code remains 13
1301,idn.13.1301,direct_current_code,2018,2025,Current Kepulauan Mentawai code in first panel window
1302,idn.13.1302,direct_current_code,2018,2025,Current Pesisir Selatan code in first panel window
1303,idn.13.1303,direct_current_code,2018,2025,Current Solok regency code in first panel window
1304,idn.13.1304,direct_current_code,2018,2025,Current Sijunjung code in first panel window
1305,idn.13.1305,direct_current_code,2018,2025,Current Tanah Datar code in first panel window
1306,idn.13.1306,direct_current_code,2018,2025,Current Padang Pariaman code in first panel window
1307,idn.13.1307,direct_current_code,2018,2025,Current Agam code in first panel window
1308,idn.13.1308,direct_current_code,2018,2025,Current Lima Puluh Kota code in first panel window
1309,idn.13.1309,direct_current_code,2018,2025,Current Pasaman code in first panel window
1310,idn.13.1310,direct_current_code,2018,2025,Current Solok Selatan code in first panel window
1311,idn.13.1311,direct_current_code,2018,2025,Current Dharmasraya code in first panel window
1312,idn.13.1312,direct_current_code,2018,2025,Current Pasaman Barat code in first panel window
1371,idn.13.1371,direct_current_code,2018,2025,Current Padang city code in first panel window
1372,idn.13.1372,direct_current_code,2018,2025,Current Solok city code in first panel window
1373,idn.13.1373,direct_current_code,2018,2025,Current Sawahlunto code in first panel window
1374,idn.13.1374,direct_current_code,2018,2025,Current Padang Panjang code in first panel window
1375,idn.13.1375,direct_current_code,2018,2025,Current Bukittinggi code in first panel window
1376,idn.13.1376,direct_current_code,2018,2025,Current Payakumbuh code in first panel window
1377,idn.13.1377,direct_current_code,2018,2025,Current Pariaman code in first panel window
1378,idn.13,source_aggregate_alias,2018,2025,BPS dynamic variables 139 141 320 361 363 and 752 use vervar 1378 for the province aggregate; this is an API source alias and must not be registered as a canonical BPS administrative code
