source_row_id,geography_id,bps_code,geography_name,population_2010_may,population_2020_september,growth_2000_2010_pct_per_year,growth_2010_2020_pct_per_year,target_indicator,target_claim_type,source_publication_id,source_publication_number,source_table,verification_status,notes
bpslpp_2010_2020_1301,idn.13.1301,1301,Kepulauan Mentawai,76173,87623,2.27,1.36,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1302,idn.13.1302,1302,Pesisir Selatan,429246,504418,0.92,1.57,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1303,idn.13.1303,1303,Solok,348566,391497,0.82,1.13,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1304,idn.13.1304,1304,Sijunjung,201823,235045,1.94,1.49,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1305,idn.13.1305,1305,Tanah Datar,338494,371704,0.33,0.91,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1306,idn.13.1306,1306,Padang Pariaman,391056,430626,0.72,0.94,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1307,idn.13.1307,1307,Agam,454853,529138,0.91,1.47,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1308,idn.13.1308,1308,Lima Puluh Kota,348555,383525,1.11,0.93,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1309,idn.13.1309,1309,Pasaman,253299,299851,1.24,1.65,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1310,idn.13.1310,1310,Solok Selatan,144281,182027,2.04,2.27,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1311,idn.13.1311,1311,Dharmasraya,191422,228591,3.09,1.73,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1312,idn.13.1312,1312,Pasaman Barat,365129,431672,2.34,1.63,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1371,idn.13.1371,1371,Padang,833562,909040,1.57,0.84,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1372,idn.13.1372,1372,Solok,59396,73438,2.13,2.07,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1373,idn.13.1373,1373,Sawahlunto,56866,65138,1.11,1.32,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1374,idn.13.1374,1374,Padang Panjang,47008,56311,1.59,1.76,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1375,idn.13.1375,1375,Bukittinggi,111312,121028,1.92,0.81,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1376,idn.13.1376,1376,Payakumbuh,116825,139576,1.78,1.74,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
bpslpp_2010_2020_1377,idn.13.1377,1377,Pariaman,79043,94224,1.35,1.71,population_growth,derived,438e46e73d9a64df8d8c34f2,13000.2106,3.1.1,publication_table_crosschecked_against_official_census_counts_and_formula,Official BPS publication table; SP2010 May to SP2020 September.
