source_record_id,organization,dataset_id,resource_id,title,temporal_scope,geography_grain,measure_scope,access_mode,datastore_active,qualification_status,canonical_role,official_url,notes
bnpb_master_compilation,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,,Kompilasi Data Kejadian dan Dampak Bencana,2010-2024 plus detailed 2024,mixed,national disaster compilation,CKAN package metadata,,qualified,discovery_authority,https://data.bnpb.go.id/dataset/data-bencana-indonesia,Primary official compilation sourced from DIBI; individual resources require separate qualification
bnpb_total_events_kab_2010_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,21044ffd-c397-4b3c-acbd-5adaa03d79e3,Jumlah Kejadian Bencana Menurut Kabupaten Tahun 2010-2024,2010-2024,kabupaten_kota,total recorded disaster events per year,CKAN DataStore,true,qualified,source_native_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/21044ffd-c397-4b3c-acbd-5adaa03d79e3,Not disaster-type specific; never relabel as flood or landslide history
bnpb_events_by_type_kab_2024_primary,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,a4daec53-1119-43ef-b05e-00ec3a4c42a4,Jumlah Kejadian Bencana Menurut Kabupaten 2024,2024,kabupaten_kota,recorded event counts by disaster type,CKAN DataStore,true,qualified,canonical_primary,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/a4daec53-1119-43ef-b05e-00ec3a4c42a4,BANJIR and TANAH LONGSOR are eligible for first canonical event observations after geography and cross-source validation
bnpb_events_by_type_kab_2024_crosscheck,BNPB,36d9a6b5-9755-4515-8f8d-16e29843abc4,5ff9f41f-8312-4b7c-aa18-fdbedac6ee7e,Jumlah Kejadian Bencana Menurut Kabupaten 2024,2024,kabupaten_kota,recorded event counts by disaster type,CKAN DataStore,true,qualified,official_crosscheck,https://data.bnpb.go.id/dataset/kompilasi-data-jumlah-dan-dampak-kejadian-bencana-2024/resource/5ff9f41f-8312-4b7c-aa18-fdbedac6ee7e,Dedicated 2024 release; used to verify primary 2024 flood and landslide rows rather than duplicated into the panel
bnpb_affected_by_type_kab_2024,BNPB,36d9a6b5-9755-4515-8f8d-16e29843abc4,89eb9dac-a891-477e-b264-2265f72f4e56,Jumlah Korban Terdampak Akibat Bencana Menurut Kabupaten 2024,2024,kabupaten_kota,reported affected people by disaster type,CKAN DataStore,true,qualified,held_source_native,https://data.bnpb.go.id/dataset/kompilasi-data-jumlah-dan-dampak-kejadian-bencana-2024/resource/89eb9dac-a891-477e-b264-2265f72f4e56,Do not sum to unique annual affected population without qualifying repeat-person and aggregation semantics
bnpb_damage_loss_rrrp_2017_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,fefc94c0-5275-4d12-899e-1d517f6c8f7c,Rekapitulasi Nilai Kerusakan dan Kerugian Berdasarkan Proposal RRRP,2017-2024,varies,reported damage and loss from rehabilitation reconstruction proposals,CKAN DataStore,true,discovered,held_source_native,https://data.bnpb.go.id/dataset/data-bencana-indonesia,Proposal-derived administrative records are not assumed complete for all events
bnpb_compilation_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,,Kompilasi Data Kejadian dan Dampak Bencana 2025,2025,primarily_province,2025 disaster compilation,CKAN package metadata,,qualified,separate_release,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025,Separate 2026-published release; schema/granularity must be qualified before appending to older data
bnpb_deaths_by_type_province_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,69605ad2-73ea-4967-b2d5-639ad9291833,Jumlah Korban Meninggal Dunia Akibat Bencana Menurut Provinsi 2024,2024,province,reported deaths by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/69605ad2-73ea-4967-b2d5-639ad9291833,M37 freezes Sumatera Barat province cells; not event-level and not causal
bnpb_affected_by_type_province_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,5b9f7853-e69b-4d3a-917c-3fa3e473ed60,Jumlah Korban Terdampak Akibat Bencana Menurut Provinsi 2024,2024,province,reported affected people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/5b9f7853-e69b-4d3a-917c-3fa3e473ed60,Do not sum across hazards as unique annual affected people
bnpb_injured_by_type_province_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,b1e58b39-8dc4-4b9b-abc6-50139acd2fda,Jumlah Korban Luka/Sakit Akibat Bencana Menurut Provinsi 2024,2024,province,reported injured or sick people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/b1e58b39-8dc4-4b9b-abc6-50139acd2fda,M37 freezes source-native province cells without person deduplication
bnpb_displaced_by_type_province_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,d1fd9f08-26e1-453a-9be0-422538f01b5e,Jumlah Korban Mengungsi Akibat Bencana Menurut Provinsi 2024,2024,province,reported displaced people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/d1fd9f08-26e1-453a-9be0-422538f01b5e,Sumatera Barat GEMPABUMI cell is source-blank and must not be coerced to zero
bnpb_houses_by_type_province_2024,BNPB,f61d78e5-04c6-4ce8-9acf-e425dadc1f4d,471f71cb-27a4-4460-836f-416c0c35b4dc,Jumlah Rumah Rusak Akibat Bencana Menurut Provinsi 2024,2024,province,reported damaged houses by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/data-bencana-indonesia/resource/471f71cb-27a4-4460-836f-416c0c35b4dc,Housing units remain separate from person metrics and monetary loss
bnpb_deaths_by_type_province_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,aefe8331-5962-4610-8b0c-2de637a336cd,Jumlah Korban Meninggal Akibat Bencana Menurut Provinsi 2025,2025,province,reported deaths by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025/resource/aefe8331-5962-4610-8b0c-2de637a336cd,Separate 2026-published release; M37 retains release provenance
bnpb_affected_by_type_province_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,8d8db1c8-d79b-4fb1-b735-d8b9c1e0517a,Jumlah Korban Terdampak Akibat Bencana Menurut Provinsi 2025,2025,province,reported affected people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025/resource/8d8db1c8-d79b-4fb1-b735-d8b9c1e0517a,Do not sum across hazards as unique annual affected people
bnpb_injured_by_type_province_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,50b99a45-d8ff-496e-a64f-9e689754371c,Jumlah Korban Luka/Sakit Akibat Bencana Menurut Provinsi 2025,2025,province,reported injured or sick people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025/resource/50b99a45-d8ff-496e-a64f-9e689754371c,M37 freezes source-native province cells without person deduplication
bnpb_displaced_by_type_province_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,eefa5746-5c65-4156-ac74-2eff2bfac767,Jumlah Korban Mengungsi Akibat Bencana Menurut Provinsi 2025,2025,province,reported displaced people by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025/resource/eefa5746-5c65-4156-ac74-2eff2bfac767,Separate source-native impact context; not event-level evidence
bnpb_houses_by_type_province_2025,BNPB,58878b43-41b5-4ffb-b851-c6d8c8c4d438,43b83e79-c8b6-4b9a-b2f0-d1cbd9cfa636,Jumlah Rumah Rusak Akibat Bencana Menurut Provinsi 2025,2025,province,reported damaged houses by disaster type,XLSX and CKAN DataStore,true,qualified,source_native_observed_impact_context,https://data.bnpb.go.id/dataset/kompilasi-data-kejadian-dan-dampak-bencana-2025/resource/43b83e79-c8b6-4b9a-b2f0-d1cbd9cfa636,Housing units remain separate from person metrics and monetary loss
bmkg_satu_peta_rainfall_wms,BMKG,,,Peta Curah Hujan dan hari Hujan,unspecified_in_service,Indonesia_map,rainfall and rainy-day map service,WMS,,qualified,metadata_map_context_only,https://gis.bmkg.go.id/portal/dataapi,"Hosted-runner probe confirms REST and standard WMS access; layers are Peta Hari Hujan and Peta Curah Hujan but ArcGIS timeInfo and WMS TIME dimensions are absent, so this service is not a reproducible historical panel without separate vintage metadata"
bmkg_open_forecast,BMKG,,,Data Prakiraan Cuaca Terbuka BMKG,3-day rolling horizon,adm4,prospective weather forecast including temperature humidity wind cloud visibility and weather state,JSON API,,qualified,operational_context_only,https://data.bmkg.go.id/prakiraan-cuaca/,Forecast updates twice daily at three-hour steps; preserve analysis_date and never use forecast values as historical observed climate
bmkg_open_nowcast_cap,BMKG,,,Data Peringatan Dini Cuaca Terbuka BMKG,active alerts,province_to_kecamatan_and_polygon,active weather warnings with CAP effective expiry and hazard areas,RSS and CAP XML,,qualified,operational_hazard_context,https://data.bmkg.go.id/peringatan-dini-cuaca/,Active feed is not a historical event archive unless Ranah Observatory snapshots immutable alert documents and handles updates cancellations duplicates and expiry semantics
bmkg_open_earthquake,BMKG,,,Data Gempabumi Terbuka BMKG,latest and rolling recent events,national_event,latest earthquake and rolling recent M5+ or felt earthquake lists,JSON XML JPG,,qualified,operational_event_context,https://data.bmkg.go.id/gempabumi/,Open page exposes latest and rolling recent lists rather than a complete historical event archive
bmkg_dataonline_station_daily,BMKG,,,Data Online climate observations,varies,station,daily climate observations including rainfall RR,authenticated web download,,qualified_discovery,human_or_authenticated_lane,https://dataonline.bmkg.go.id/dataonline-home,Preferred station-observation candidate; acquisition constraints must remain explicit
