djpk_province_selector,djpk_pemda_selector,djpk_source_name,djpk_identity_alias,geography_id,canonical_name,geography_level,mapping_status,mapping_basis
03,01,Kab. Lima Puluh Kota,Kab. Limapuluh Kota,idn.13.1308,Lima Puluh Kota,regency,qualified_explicit,"DJPK selector ordering; source heading evidence confirms alias Kab. Limapuluh Kota"
03,02,Kab. Agam,,idn.13.1307,Agam,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,03,Kab. Kepulauan Mentawai,,idn.13.1301,Kepulauan Mentawai,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,04,Kab. Padang Pariaman,,idn.13.1306,Padang Pariaman,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,05,Kab. Pasaman,,idn.13.1309,Pasaman,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,06,Kab. Pesisir Selatan,,idn.13.1302,Pesisir Selatan,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,07,Kab. Sijunjung,,idn.13.1304,Sijunjung,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,08,Kab. Solok,,idn.13.1303,Solok,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,09,Kab. Tanah Datar,,idn.13.1305,Tanah Datar,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,10,Kota Bukittinggi,Kota Bukit Tinggi,idn.13.1375,Bukittinggi,city,qualified_explicit,"DJPK selector ordering; source heading evidence confirms alias Kota Bukit Tinggi"
03,11,Kota Padang Panjang,,idn.13.1374,Padang Panjang,city,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,12,Kota Padang,,idn.13.1371,Padang,city,qualified_explicit,"DJPK portal query and regional-code ordering"
03,13,Kota Payakumbuh,,idn.13.1376,Payakumbuh,city,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,14,Kota Sawahlunto,,idn.13.1373,Sawahlunto,city,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,15,Kota Solok,,idn.13.1372,Solok,city,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,16,Kota Pariaman,,idn.13.1377,Pariaman,city,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,17,Kab. Pasaman Barat,,idn.13.1312,Pasaman Barat,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,18,Kab. Dharmasraya,,idn.13.1311,Dharmasraya,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
03,19,Kab. Solok Selatan,,idn.13.1310,Solok Selatan,regency,qualified_explicit,"DJPK Sumatera Barat regional-code ordering"
