source_record_id,source_id,title,reference_start,reference_end,geography_level,source_type,official_url,status,priority,usable_for,comparability_risk,notes
legal_pp_8_1947,bpk_legal_database,PP No. 8 Tahun 1947 Pemerintahan di Sumatra sebagai Daerah Otonomi,1947,1947,historical_region,legal,https://peraturan.bpk.go.id/Details/62795/pp-no-8-tahun-1947,qualified,P0,administrative_timeline,high,Establishes a legal anchor for Sumatra as an autonomous region effective 1947-04-28; does not by itself resolve subregional boundaries
legal_uu_10_1948,bpk_legal_database,UU No. 10 Tahun 1948 Pembagian Sumatra dalam Tiga Propinsi,1948,1948,province,legal,https://peraturan.bpk.go.id/Details/25549/uu-no-10-tahun-1948,qualified,P0,administrative_timeline,high,Enacted and promulgated 1948-04-15; BPK effective-date metadata is blank so do not invent one
legal_perpu_4_1950,bpk_legal_database,Perpu No. 4 Tahun 1950 Pembentukan Propinsi Sumatera Tengah,1950,1950,province,legal,https://peraturan.bpk.go.id/Details/54149/perpu-no-4-tahun-1950,qualified,P0,administrative_timeline,high,Only year precision is currently supported by BPK metadata
legal_uudrt_19_1957,bpk_legal_database,UUDrt No. 19 Tahun 1957 Pembentukan Daerah-Daerah Tingkat I Sumatera Barat Jambi dan Riau,1957,1957,province,legal,https://peraturan.bpk.go.id/Details/51903/uudrt-no-19-tahun-1957,qualified,P0,administrative_timeline|boundary_lineage,high,Effective 1957-08-10 and revokes Perpu 4/1950
legal_uu_61_1958,bpk_legal_database,UU No. 61 Tahun 1958 Penetapan UUDrt No. 19 Tahun 1957 sebagai Undang-Undang,1958,1958,province_regency_city,legal,https://peraturan.bpk.go.id/Details/52323/uu-no-61-tahun-1958,qualified,P0,administrative_timeline|boundary_lineage,high,Useful for constituent areas of Sumatera Barat after reorganization
bps_sp_1961,bps_census_1961,Sensus Penduduk 1961 Republik Indonesia,1961,1961,province,official_statistics,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensuspenduduk-1961-republik-indonesia.html,qualified,P0,population|demography|boundary_diagnostics,high,First population census conducted by the Government of the Republic of Indonesia; official abstract warns changing kabupaten areas prevented density reporting at Tingkat II
bps_pocketbook_1964_1967,bps_pocketbook_1964_1967,Statistical Pocketbook of Indonesia 1964-1967,1964,1967,national_and_selected_subnational,official_statistics,https://www.bps.go.id/en/publication/1964/12/01/d850dcc6aa136d5db4fb4dee/statistical-pocketbook--of-indonesia-1964-1967.html,qualified,P0,multidomain_historical_series,high,Table-level source geography definitions and reference years must be inspected before extraction
bps_pocketbook_1968_1969,bps_pocketbook_1968_1969,Statistical Pocketbook of Indonesia 1968-1969,1968,1969,national_and_selected_subnational,official_statistics,https://www.bps.go.id/en/publication/1971/12/01/2fd46c212684547dae547c12/statistical-pocketbook-of-indonesia-1968-1969.html,qualified,P0,multidomain_historical_series,high,Published in 1971; publication date must not be substituted for observation period
bps_opac_sumbar_1970,bps_library_opac,Provinsi Sumatera Barat Dalam Angka 1970,1970,1970,province,library_holding,https://perpustakaan.bps.go.id/opac/search?media=soft&page=9021&subyek%5B0%5D=5,qualified,P0,multidomain_historical_series,medium,Official BPS library catalogue records a softcopy holding; stable publication page is separately registered in bps_historical_anchors.csv
bps_sp_1971_province_regency,bps_publication_web,Sensus Penduduk 1971 Diperinci Menurut Provinsi dan Kabupaten/Kota Angka Sementara,1971,1971,province_regency_city,official_statistics,https://www.bps.go.id/id/publication/1972/05/31/a6b0fd245504c17bc991e652/sensus-penduduk-1971-diperinci-menurut-provinsi-dan-kabupaten-kota--angka-sementara-.html,qualified,P1,population|boundary_crosscheck,medium,Useful as post-period cross-check because it reports province and kabupaten/kotamadya after the 1957-1958 reorganization
bps_opac_sumbar_sp1971_serie_e3,bps_library_opac,Penduduk Sumatera Barat Sensus Penduduk 1971 Seri E No.3,1971,1971,province_regency_city,library_holding,https://perpustakaan.bps.go.id/opac/search?media=soft&page=8931&subyek%5B0%5D=2,qualified,P0,population|demography|historical_population,medium,Official BPS OPAC records a 1973 softcopy dedicated to Sumatera Barat SP1971; use the actual artifact rather than retrospective tables before freezing numeric observations
archive_gap_1945_1946,archives,Early independence West Sumatra and Sumatra administrative-statistical sources,1945,1946,historical_region,archive_inventory,,gap,P0,administrative_timeline|population|economy,unknown,No primary source has yet been qualified in this repository for the exact 1945-1946 administrative regime; do not fill this gap from secondary narrative alone
archive_gap_1951_1960,archives,Pre-census Sumatera Tengah and early Sumatera Barat statistical publications,1951,1960,province_and_subprovince,archive_inventory,,gap,P0,population|education|production|public_finance,unknown,Legal geography is increasingly constrained but comparable statistical series still require BPS library or government archive discovery
