geography_id,geography_name,bps_code,analysis_start,analysis_end,footprint_status,legal_anchor,qualification_basis,notes
idn.13.1301,Kepulauan Mentawai,1301,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","M8 qualification is limited to the 2005-2013 analytical footprint; it does not backfill the general historical formation-date registry."
idn.13.1302,Pesisir Selatan,1302,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","M8 qualification is limited to the 2005-2013 analytical footprint."
idn.13.1303,Solok,1303,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Do not confuse Kabupaten Solok with Kota Solok."
idn.13.1304,Sijunjung,1304,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Source-native historical spelling must be preserved if it differs."
idn.13.1305,Tanah Datar,1305,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","M8 qualification is limited to the analysis window."
idn.13.1306,Padang Pariaman,1306,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes; Kota Pariaman had already been legally separated before the M8 window.","Kota Pariaman separation predates 2005 under UU 12/2002."
idn.13.1307,Agam,1307,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","M8 qualification is limited to the analysis window."
idn.13.1308,Lima Puluh Kota,1308,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Canonical spelling follows the repository registry."
idn.13.1309,Pasaman,1309,2005,2013,qualified_for_m8,,"Present as a distinct kabupaten in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes; Pasaman Barat had already been legally separated before the M8 window.","Pasaman Barat separation predates 2005 under UU 38/2003."
idn.13.1310,Solok Selatan,1310,2005,2013,qualified_for_m8,"UU 38/2003; effective 2003-12-18","Legally established before the 2005 analysis start and present in both BPS comparison universes.","No pre-formation backcast is permitted."
idn.13.1311,Dharmasraya,1311,2005,2013,qualified_for_m8,"UU 38/2003; effective 2003-12-18","Legally established before the 2005 analysis start and present in both BPS comparison universes.","No pre-formation backcast is permitted."
idn.13.1312,Pasaman Barat,1312,2005,2013,qualified_for_m8,"UU 38/2003; effective 2003-12-18","Legally established before the 2005 analysis start and present in both BPS comparison universes.","No pre-formation backcast is permitted."
idn.13.1371,Padang,1371,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Largest economy in the sample; influence sensitivity is mandatory."
idn.13.1372,Solok,1372,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Do not confuse Kota Solok with Kabupaten Solok."
idn.13.1373,Sawahlunto,1373,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Source-native historical spelling may appear as Sawah Lunto and must be preserved in provenance."
idn.13.1374,Padang Panjang,1374,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","M8 qualification is limited to the analysis window."
idn.13.1375,Bukittinggi,1375,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Damage/exposure status must be independently qualified; geography qualification does not imply zero exposure."
idn.13.1376,Payakumbuh,1376,2005,2013,qualified_for_m8,,"Present as a distinct kota in both BPS 2005-2009 and 2009-2013 district/city GRDP comparison universes.","Damage/exposure status must be independently qualified."
idn.13.1377,Pariaman,1377,2005,2013,qualified_for_m8,"UU 12/2002; effective 2002-04-10","Legally established before the 2005 analysis start and present in both BPS comparison universes.","No pre-formation backcast is permitted; Padang Pariaman and Kota Pariaman are separate units throughout M8."
